frame_num,speed_kmh
5,103.59777989899204
11,121.16620816052637
15,112.8594258358601
26,85.61833915698202
30,22.5
39,78.58912138457842
45,32.76049450176234
66,85.38149682454625
71,112.8594258358601
79,91.11805529092464
83,126.72115056295853
83,86.44217720534346
86,86.90943562122585
97,99.1022199549536
142,47.83565615730593
146,70.43614129124339
146,118.11964273566021
150,35.14612354157995
157,66.4417037710503
164,60.541308211831705
192,67.5
199,98.6927048975759
212,77.42092740338364
221,80.12022216644186
224,55.661925945838426
226,20.12461179749811
261,110.31885604918138
263,41.487950057818
264,95.35329045187692
279,77.42092740338364
281,64.4301947847436
281,105.43837062473983
297,78.58912138457842
299,77.42092740338364
306,80.49844718999243
312,58.5
349,72.56031973468694
355,46.33033563444151
367,67.5
371,62.515997952524124
376,88.7538731549221
379,82.975900115636
387,76.50000000000001
389,61.206617289309506
406,63.1605098142819
407,129.56562043999173
417,127.27922061357856
420,72.6997248963158
431,45.224440295044005
441,58.5
453,45.224440295044005
457,82.73149339882606
460,76.63223864666882
471,72.56031973468694
472,131.19641763401927
477,98.281483505287
479,98.6927048975759
491,13.500000000000002
499,117.0
